group_id,group_size,merge_key,FullAddress,inputGranularity,validationGranularity,geocodeGranularity,addressComplete,hasUnconfirmedComponents,hasInferredComponents,possibleNextAction,hasReplacedComponents,hasInferredComponents_detail,hasReplacedComponents_detail,confirmedComponents_detail,unconfirmedComponents_detail,fixed_formattedAddress,fixed_postalAddress_lines,fixed_postalAddress_locality,fixed_postalAddress_adminArea,fixed_postalAddress_postalCode,fixed_postalAddress_regionCode,placeId,lat,lng,http_status,invalid_reason,source_file
6146,1,A VALLEY GLEN CT CASTAIC 91384,30086 A Valley Glen Ct Castaic 91384,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"30086 A, Valley Glen Street, Castaic, CA 91384, USA",30086 A | Valley Glen St,Castaic,CA,91384,US,ChIJXxhzxGN_woAR7yCTIt70dxA,34.4651954,-118.6691689,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6158,1,A WALTONIA DR MONTROSE 91020,2214 A Waltonia Dr Montrose 91020,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"2214 A, Waltonia Drive, Montrose, CA 91020, USA",2214 A | Waltonia Dr,Montrose,CA,91020,US,ChIJyf1laxTqwoARXSR6vdfbNgc,34.211848,-118.2250442,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6325,1,ARCADIA CA ARCADIA 91007,909 Arcadia Ca UNIT D Arcadia 91007,SUB_PREMISE,SUB_PREMISE,SUB_PREMISE,,,True,FIX,,route:Arcadia Avenue|administrative_area_level_1:CA,,,,"Arcadia Avenue Unit D, Arcadia, CA 91007, USA",Arcadia Ave Unit D,Arcadia,CA,91007,US,ChIJJ40wlabbwoARRvB68C_L8ek,34.1273089,-118.061014,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6391,1,AVALON 90704,75 Avalon 90704,SUB_PREMISE,PREMISE,PREMISE,,True,True,FIX,,route:Newport - Avalon|administrative_area_level_1:CA,,,,"Newport - Avalon #75, Avalon, CA 90704, USA",Newport - Avalon #75,Avalon,CA,90704,US,ChIJh9l1E5hy3YAR2TtrB6PJf5s,33.339781,-118.3238426,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6525,1,B ADMIRAL HIGBEE WY SAN PEDRO 90731,2600 B Admiral Higbee Wy San Pedro 90731,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"2600 B, Admiral Higby Way, San Pedro, CA 90731, USA",2600 B | Admiral Higby Wy,San Pedro,CA,90731,US,ChIJz7sEl7k33YARuzrMfwnh0g0,33.7205855,-118.2714391,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6526,1,B AMAR RD LA PUENTE 91744,15913 B Amar Rd La Puente 91744,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"15913 B, Amar Road, La Puente, CA 91744, USA",15913 B | Amar Rd,La Puente,CA,91744,US,ChIJyTAARRfWwoARFBveT56-LVs,34.0368035,-117.9375602,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6527,1,B ANGELES CREST HWY LA CANADA 91011,4926 B Angeles Crest Hwy La Canada Flintridge 91011,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"4926 B, Angeles Crest Highway, La Cañada Flintridge, CA 91011, USA",4926 B | Angeles Crest Hwy,La Cañada Flintridge,CA,91011,US,ChIJOwWZBvrpwoAR9dMGuJ1-Z1E,34.2117526,-118.1995975,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6530,1,B CRENSHAW BLVD GARDENA 90249,15219 B Crenshaw Blvd Gardena 90249,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"15219 B, Crenshaw Boulevard, Gardena, CA 90249, USA",15219 B | Crenshaw Blvd,Gardena,CA,90249,US,ChIJn9qUM6O1woARsRPbD7t585I,33.8931987,-118.3267663,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6544,1,B ELMA RD PASADENA 91107,3799 B Elma Rd Pasadena 91107,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"3799 B, Elma Road, Pasadena, CA 91107, USA",3799 B | Elma Rd,Pasadena,CA,91107,US,ChIJK6o_g3nbwoARKOEL-ctri5c,34.1440498,-118.0706847,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6545,1,B EVERGREEN PL HACIENDA HEIGHTS 91745,17005 B Evergreen Pl Hacienda Heights 91745,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"17005 B, Evergreen Place, Hacienda Heights, CA 91745, USA",17005 B | Evergreen Pl,Hacienda Heights,CA,91745,US,ChIJEzJDNu3VwoART5cx0Jw3mDE,34.00032,-117.9383555,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6547,1,B FIGUEROA DR ALTADENA 91001,841 B Figueroa Dr Altadena 91001,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"841 B, Figueroa Drive, Altadena, CA 91001, USA",841 B | Figueroa Dr,Altadena,CA,91001,US,ChIJX823pl3CwoAR77EzYxOr-40,34.187683,-118.1675703,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6549,1,B GLENADA AVE MONTROSE 91020,2155 B Glenada Ave Montrose 91020,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"2155 B, Glenada Avenue, Montrose, CA 91020, USA",2155 B | Glenada Ave,Montrose,CA,91020,US,ChIJe0HFfxHqwoARyM4E3ofP58w,34.2087855,-118.2233723,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6553,1,B IMPERIAL HWY LA MIRADA 90638,15745 B Imperial Hwy La Mirada 90638,PREMISE_PROXIMITY,PREMISE_PROXIMITY,PREMISE_PROXIMITY,,,True,FIX,,administrative_area_level_1:CA,,,,"15745 B, Imperial Highway, La Mirada, CA 90638, USA",15745 B | Imperial Hwy.,La Mirada,CA,90638,US,ChIJ5ZSZ40kr3YARV8d6p09N1C8,33.9181031,-117.9955522,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
